 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1,20200626004-1-1-1-S7.2.jpg,0.492,255,2.847,0.763,1.679,0.596,0.912
2,20200626004-1-1-1-S7.2.jpg,0.081,255,1.171,0.741,2.858,0.350,0.957
3,20200626004-1-1-1-S7.2.jpg,18.874,255,22.014,0.489,1.606,0.622,0.750
4,20200626004-1-1-1-S7.2.jpg,1.109,255,4.189,0.795,1.494,0.669,0.912
5,20200626004-1-1-1-S7.2.jpg,0.125,255,1.191,1.000,1.263,0.792,0.919
6,20200626004-1-1-1-S7.2.jpg,0.867,255,3.896,0.718,1.842,0.543,0.894
7,20200626004-1-1-1-S7.2.jpg,0.411,255,2.362,0.927,1.470,0.680,0.918
8,20200626004-1-1-1-S7.2.jpg,0.125,255,1.384,0.820,1.840,0.544,0.791
9,20200626004-1-1-1-S7.2.jpg,5.532,255,11.053,0.569,1.096,0.912,0.787
10,20200626004-1-1-1-S7.2.jpg,1.381,255,4.573,0.830,1.139,0.878,0.891
11,20200626004-1-1-1-S7.2.jpg,0.118,255,1.413,0.740,2.111,0.474,0.865
12,20200626004-1-1-1-S7.2.jpg,9.536,255,16.714,0.429,1.484,0.674,0.816
13,20200626004-1-1-1-S7.2.jpg,0.529,255,2.625,0.965,1.114,0.897,0.894
14,20200626004-1-1-1-S7.2.jpg,4.217,255,9.327,0.609,1.450,0.690,0.794
15,20200626004-1-1-1-S7.2.jpg,0.103,255,1.120,1.000,1.662,0.602,0.966
16,20200626004-1-1-1-S7.2.jpg,8.331,255,11.296,0.821,1.418,0.705,0.930
17,20200626004-1-1-1-S7.2.jpg,0.669,255,3.169,0.837,1.815,0.551,0.933
18,20200626004-1-1-1-S7.2.jpg,0.911,255,3.574,0.896,1.508,0.663,0.905
19,20200626004-1-1-1-S7.2.jpg,8.985,255,18.595,0.327,2.393,0.418,0.693
20,20200626004-1-1-1-S7.2.jpg,0.448,255,2.868,0.685,2.747,0.364,0.841
21,20200626004-1-1-1-S7.2.jpg,9.500,255,17.521,0.389,2.114,0.473,0.742
22,20200626004-1-1-1-S7.2.jpg,0.375,255,2.483,0.764,2.140,0.467,0.887
23,20200626004-1-1-1-S7.2.jpg,0.132,255,1.313,0.965,1.416,0.706,0.878
24,20200626004-1-1-1-S7.2.jpg,2.740,255,6.965,0.710,2.139,0.468,0.875
25,20200626004-1-1-1-S7.2.jpg,0.331,255,2.625,0.603,2.601,0.384,0.714
26,20200626004-1-1-1-S7.2.jpg,0.110,255,1.191,0.976,1.369,0.730,0.857
27,20200626004-1-1-1-S7.2.jpg,0.140,255,1.313,1.000,1.343,0.744,0.884
28,20200626004-1-1-1-S7.2.jpg,0.125,255,1.827,0.470,3.611,0.277,0.708
29,20200626004-1-1-1-S7.2.jpg,1.697,255,6.835,0.457,1.631,0.613,0.682
30,20200626004-1-1-1-S7.2.jpg,0.992,255,3.875,0.830,1.733,0.577,0.925
31,20200626004-1-1-1-S7.2.jpg,0.176,255,1.848,0.649,3.028,0.330,0.774
32,20200626004-1-1-1-S7.2.jpg,3.409,255,8.632,0.575,2.149,0.465,0.824
33,20200626004-1-1-1-S7.2.jpg,0.066,255,0.899,1.000,1.340,0.746,0.857
34,20200626004-1-1-1-S7.2.jpg,2.843,255,8.014,0.556,2.693,0.371,0.814
35,20200626004-1-1-1-S7.2.jpg,5.150,255,13.495,0.355,1.461,0.684,0.668
36,20200626004-1-1-1-S7.2.jpg,1.763,255,5.401,0.760,1.377,0.726,0.865
37,20200626004-1-1-1-S7.2.jpg,0.110,255,1.141,1.000,1.127,0.887,0.857
38,20200626004-1-1-1-S7.2.jpg,3.328,255,7.086,0.833,1.213,0.825,0.933
39,20200626004-1-1-1-S7.2.jpg,0.404,255,2.989,0.568,3.715,0.269,0.764
40,20200626004-1-1-1-S7.2.jpg,0.382,255,2.191,1.000,1.282,0.780,0.937
41,20200626004-1-1-1-S7.2.jpg,3.842,255,9.226,0.567,2.390,0.418,0.777
42,20200626004-1-1-1-S7.2.jpg,2.549,255,6.994,0.655,1.342,0.745,0.838
43,20200626004-1-1-1-S7.2.jpg,3.747,255,8.700,0.622,1.469,0.681,0.809
44,20200626004-1-1-1-S7.2.jpg,0.647,255,2.997,0.904,1.359,0.736,0.931
45,20200626004-1-1-1-S7.2.jpg,3.365,255,8.035,0.655,1.036,0.965,0.866
46,20200626004-1-1-1-S7.2.jpg,0.132,255,1.242,1.000,1.248,0.801,0.947
47,20200626004-1-1-1-S7.2.jpg,1.146,255,4.402,0.743,1.869,0.535,0.850
48,20200626004-1-1-1-S7.2.jpg,0.228,255,1.706,0.984,1.443,0.693,0.939
49,20200626004-1-1-1-S7.2.jpg,0.176,255,1.484,1.000,1.345,0.743,0.906
50,20200626004-1-1-1-S7.2.jpg,0.125,255,1.262,0.985,1.686,0.593,0.872
51,20200626004-1-1-1-S7.2.jpg,0.279,255,1.969,0.905,1.797,0.556,0.894
52,20200626004-1-1-1-S7.2.jpg,0.404,255,2.312,0.950,1.204,0.831,0.909
53,20200626004-1-1-1-S7.2.jpg,1.851,255,6.994,0.476,3.459,0.289,0.785
54,20200626004-1-1-1-S7.2.jpg,7.553,255,12.023,0.657,1.233,0.811,0.865
55,20200626004-1-1-1-S7.2.jpg,3.637,255,8.470,0.637,2.378,0.421,0.868
56,20200626004-1-1-1-S7.2.jpg,0.162,255,1.413,1.000,1.542,0.649,0.957
57,20200626004-1-1-1-S7.2.jpg,0.918,255,3.896,0.760,1.689,0.592,0.880
58,20200626004-1-1-1-S7.2.jpg,0.081,255,0.949,1.000,1.372,0.729,0.957
59,20200626004-1-1-1-S7.2.jpg,0.206,255,1.626,0.978,1.181,0.847,0.848
60,20200626004-1-1-1-S7.2.jpg,4.144,255,11.375,0.402,2.349,0.426,0.668
61,20200626004-1-1-1-S7.2.jpg,0.970,255,5.067,0.475,3.251,0.308,0.739
62,20200626004-1-1-1-S7.2.jpg,1.646,255,7.207,0.398,2.618,0.382,0.646
